"TITLE","DESCRIPTION","ARCHITECT","ADDRESS"
"Абрамову Ф.А., мемориальная доска"," Абрамову Ф.А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1982–1983 годах жил и работал писатель Федор Александрович Абрамов»1992. Арх. Милорадович Т. Н. Гранит.Мичуринская ул., 1 (Ф-143) Персоны Абрамов Федор Александрович Милорадович Т. Н. Адреса Мичуринская ул./Санкт-Петербург, д. 1 ","1992. Арх. Милорадович Т. Н. Гранит.","Мичуринская ул./Санкт-Петербург, д. 1"
"Авелану Ф. К. [и другим адмиралам, воспитывавшимся в Александровском кадетском корпусе], мемориальная доска"," Авелану Ф. К. [и другим адмиралам, воспитывавшимся в Александровском кадетском корпусе], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в морской роте Александровского кадетского корпуса для малолетних, с 1850 по 1860 гг. воспитывалась плеяда выдающихся адмиралов Российского Флота, в их числе: Авелан К. Ф. [правильно - Ф. К (ред.)], Попов А.А., Римский-Корсаков В.А., Чихачев Г.П. [правильно - Н. М.(ред.)], Чухнин Г.П.»1997. Арх. Абрамов Е. П., скульптор Гольбрайх И. А. Гранит.г. Пушкин, Кадетский бульвар, 1. Высшее военно-морское инженерное училище. (Ф-2) Персоны Абрамов Е. П. Авелан Ф. К. Гольбрайх И. А. Попов А.А. РИМСКИЙ-КОРСАКОВ Владимир Александрович Адреса Кадетский бульв./Пушкин г., д. 1 Предметный указатель Военно-морской инженерный институт (г. Пушкин, Кадетский бул., 1) ","1997. Арх. Абрамов Е. П., скульптор Гольбрайх И. А. Гранит.","Гольбрайх И. А."
"Агееву Н. В., мемориальная доска"," Агееву Н. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании в период с 1925 по 1936 год работал академик Николай Владимирович Агеев»1989. Арх. Степанов Г. П. Гранит.Политехническая ул., 29, Технический университет, химический корпус Персоны Агеев Николай Владимирович Степанов Г. П. Адреса Политехническая ул./Санкт-Петербург, д. 29 Предметный указатель Политехнический университет СПб гос. ","Политехническая ул., 29, Технический университет, химический корпус
                                                                     ","Политехническая ул./Санкт-Петербург, д. 29"
"Азизбекову М. А [и другим революционерам и государственным деятелям, учившимся в Технологическом институте], мемориальная доска"," Азизбекову М. А [и другим революционерам и государственным деятелям, учившимся в Технологическом институте], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Технологи-революционеры, государственные деятели:Азизбеков Мешади Азизбек оглы 1876–1918,Бруснев Михаил Иванович 1864–1937,Ванеев Анатолий Александрович 1872–1899,Вологдин Валентин Петрович 1881–1953,Горбунов Николай Петрович 1892–1938,Гусев Сергей Иванович 1874–1933,Запорожец Петр Кузмич 1873–1905,Красин Леонид Борисович 1870–1926,Кржижановский Глеб Максимилианович 1872–1959,Лазо Сергей Георгиевич 1894–1920,Мартенс Людвиг Карлович 1875–1948,Петров Григорий Константинович 1892–1918,Радченко Степан Иванович 1869–1911,Сажин Михаил Петрович 1845–1934,Старков Василий Васильевич 1869–1925»1978. Арх. Милорадович Т. Н. Мрамор.Московский пр., 26/49. Технологический институт (в здании) Персоны Азизбеков Мешади Азизбек оглы Милорадович Т. Н. Адреса Московский пр./Санкт-Петербург, д. 26/49 Предметный указатель Технологический институт СПб гос. ","Бруснев Михаил Иванович 1864–1937,","Московский пр./Санкт-Петербург, д. 26/49"
"Акимову Н. П., мемориальная доска"," Акимову Н. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1945 г. по 1967 г. жил народный артист СССР Николай Павлович Акимов»1970. Арх. Вержбицкий Ж. М. Гранит.Кирпичный пер., 1/4 (Ф-144) Персоны Акимов Николай Павлович Вержбицкий Жан Матвеевич Адреса Кирпичный пер./Санкт-Петербург, д. 1/4 ","1970. Арх. Вержбицкий Ж. М. Гранит.","Кирпичный пер./Санкт-Петербург, д. 1/4"
"Александру II и событиям его жизни и царствования, мемориальная доска"," Александру II и событиям его жизни и царствования, мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «17 апреля 1818 года. Рождение Великого Князя Александра Николаевича в Московском Кремле. “Да встретит он обильный честью век, Да славного участник славный будет, Да чреде высокой не забудет, Святейшего из званий человек!” Жуковский. 1818 г.» (Ф-1)«12 декабря 1852 года. Провозглашение Великого Князя АЛЕКСАНДРА НИКОЛАЕВИЧА Наследником Престола. 16 апреля 1841 года. Бракосочетание Наследника Цесаревича и Великого Князя АЛЕКСАНДРА НИКОЛАЕВИЧА с Великою Княжною МАРИЕЮ АЛЕКСАНДРОВНОЮ, Принцессою Гессен-Дармштадтскою» «19 февраля 1855 года. Восшествие на Престол Государя Императора Александра II. “... Вступая на прародительский НАШ Престол Российский Империи и неразделимых с нею Царства Польского и Великого Княжества Финляндского перед лицом невидимо соприсутствующего НАМ БОГА, приемлем священный обет иметь всегда единою целью благоденствие Отечества НАШЕГО. Да руководимые, покровительствуемые призвавшим НАС к сему Великому служению Провидением утвердим Россию на высшей степени могущества и славы, да исполняются через НАС постоянные желания и виды Августейших НАШИХ предшественников ПЕТРА, ЕКАТЕРИНЫ, АЛЕКСАНДРА Благословенного и Незабвенного НАШЕГО Родителя” Александр» (Ф-1а)«26 августа 1856 года. Священное коронование и Миропомазание ГОСУДАРЯ ИМПЕРАТОРА АЛЕКСАНДРА НИКОЛАЕВИЧА и ГОСУДАРЫНИ ИМПЕРАТРИЦЫ МАРИИ АЛЕКСАНДРОВНЫ в Москве. “В сей торжественный день, когда, испросив благословение ВСЕВЫШНЕГО, МЫ возложили на СЕБЯ венец НАШИХ Предков, первою НАШЕЮ мыслию было, как всегда, благоденствие любезной НАМ России. Повторяя при Священном обряде Коронования обет, произнесенный НАМИ в самый час вступления НАШЕГО на Прародительский Престол, иметь постоянною, единою целию трудов и попечений НАШИХ утверждение, возвышение сего благоденствия в настоящем и будущем времени. МЫ не могли, с тем вместе, не обратиться и к воспоминанию о событиях недавно минувших лет, ознаменованных тягостными испытаниями, но и примерами высокой доблести и новыми доказательствами беспредельной, нелицемерной преданности верных подданных НАШИХ всех состояний к Престолу и Отечеству...” Александр»«19 марта 1856 года. Заключение мира, положившего конец Восточной войне 1853–1856 гг. “Упорная, кровопролитная борьба, возмущавшая Европу в течение трех почти лет, прекращается... При помощи Небесного промысла всегда благодеющего России, да утверждается и совершенствуется ее внутреннее благоустройство, правда и милость да царствует в судах ее, да развивается повсюду и с новой силою стремление к просвещению и всякой полезной деятельности, и каждый под сению законов, для всех равно справедливых, всем равно покровительствующих, да наслаждается в мире плодом трудов невинных. Наконец, и сие есть первое живейшее желание наше, свет спасительной веры, озаряя умы, укрепляя сердца, да сохраняет и улучшает более и более общественную нравственность, сей вернейший залог порядка и счастья...” Александр»«1858 и 1860 гг. Присоединение к России Амурского и Уссурийского края. Айгунский договор 16 мая 1858 года. Пекинский договор 2 ноября 1860 года»«1859 и 1864 гг. Покорение Кавказа. Взятие Гуниба и пленение Шамиля 25 августа 1859 года. Окончание Кавказской войны 25 мая 1864 года»«19 февраля 1861 года. Освобождение крестьян от крепостной зависимости. “Осени себя крестным знамением, православный народ, и призови с НАМИ БОЖИЕ благословение на твой свободный труд, залог твоего домашнего благополучия и блага общественного...” Александр»«22 мая 1862 года. Положение о Государственной росписи и финансовых сметах и об обнародовании их во всеобщее сведение.1862–1866 гг. Преобразование Государственного Контроля. Развитие сети железных дорог и телеграфов»«17 апреля 1863 года. Ограничение телесных наказаний»«20 ноября 1864 года. Судебные Уставы. “Рассмотрев сии проекты, МЫ находим, что они вполне соответствуют желанию НАШЕМУ водворить в России суд скорый правый, милостивый и равный для всех подданных НАШИХ, возвысить судебную власть, дать ей надлежащую самостоятельность и вообще утвердить в народе НАШЕМ то уважение к закону, без коего невозможно общественное благосостояние и которое должно быть постоянным руководителем действий всех и каждого от высшего до низшего...” Александр»«19 февраля 1864 года. Устройство быта крестьян Царства Польского. “Ныне совершилось ровно три года с тех пор, как в день 19 февраля 1861 года МЫ издали Манифест и положение об устройстве крестьян в России. И в Царстве Польском настоящий день МЫ знаменуем исполнением священного завета Родителя НАШЕГО, НАШИХ Собственных давнишних желаний и упований многочисленного верного НАМ сословия поселян. Да останется сей день вечно памятен и крестьянам Царства, как день вновь возникающего их благосостояния. Да будет сие благосостояние их счастливым предвестником того общего преуспеяния и благоденствия, водворение коего во всех слоях населения Царства составляет предмет НАШЕГО постоянного желания и непобедимой надежды” Александр»«1 января 1864 года. Положение о земских учреждениях.16 июня 1870 года. Городовое Положение.6 апреля 1865 года. Закон о предоставлении печати возможных облегчений»«Народное образование. “В постоянных заботах МОИХ о благе МОЕГО народа Я обращаю особенное МОЕ внимание на дело народного просвещения, видя в нем движущую силу всякого успеха и утверждение тех нравственных основ, на которых зиждутся государства” Александр.Положение о начальных народных училищах 1864 г. Городские училища и Учительские институты 1872 г. Уставы Гимназий и Прогимназий 1864–1871 гг. Уставы Реальных училищ 1872 г. Университетский устав 1863 г. Попечение о развитии женского образования»«1 января 1874 года. Всеобщая воинская повинность. “...Сила Государства не в одной численности войск, но преимущественно в нравственных и умственных его качествах, достигающих высшего развития лишь тогда, когда дело защиты отечества становится общим делом народа, когда все без различия званий и состояний соединяются на это святое дело... Утвердив... Устав о воинской повинности и призывая подданных НАШИХ именем дорогой всем НАМ отчизны к ревностному исполнению возлагаемых на них обязанностей, МЫ не имеем намерений отступать от начал, которым неуклонно следовали во все НАШЕ Царствование. МЫ не ищем, как не искали до сих пор блеска военной славы и лучшим жребием, ниспосланным НАМ от БОГА, почитаем вести Россию к величию путем мирного преуспеяния и всестороннего внутреннего развития...” Александр»«19 октября 1870 года. Возвращение Россиею своих Державных прав на Черном море» «Завоевание Средней Азии 1860–1881 гг. Взятие штурмом города Ташкента. Победа над Бухарскими войсками у Ирджара. Взятие штурмом Кокандского города Ходжента. Взятие Бухарских крепостей Ура-Тюбе и Джизак. Бой у Яны-Кургана. Штурм Самаркандских высот и занятие города. Бой на Зарабулавских высотах и занятие их. Занятие Хивы, столицы Ханства. Взятие Кокандской крепости Махрам. Вторичное взятие штурмом города Андижан. Присоединение к владениям России Кокандского Ханства. Взятие штурмом крепости Геок-Тепе»«19 февраля 1878 года. Заключение мира в С.-Стефано. Воссоединение с Россией отторженного участка Бессарабии. Присоединение Карса и Батума. Независимость Румынии, Сербии и Черногории. Освобождение Болгарии»«Война за освобождение Балканских христиан. 12 апреля 1877 – 19 февраля 1878. “Я знаю, что вся Россия вместе со МНОЮ принимает живейшее участие в страданиях наших братий по вере и по происхождению... Вся Россия отзовется на МОЙ призыв, когда я сочту это нужным и честь России того потребует... Да поможет НАМ БОГ исполнить НАШЕ святое призвание” (Из речи, произнесенной ИМПЕРАТОРОМ АЛЕКСАНДРОМ II в Кремлевском Дворце 30 октября 1876 г.) Взятие Ардагана. Переправа через Дунай у Галаца и у Зимницы. Защита Баязета. Взятие Никополя. Захват Балканских походов: Ханикойского и Шипкинского. Взятие Ловчи. Поражение армии Мухтара-Паши на Аладжинских высотах. Горный Дубняк и Телиш. Деве-Бойну. Взятие штурмом Карса. Падение Плевны. Сражение при сс. Трестеника и Мечки. Переход через Балканы: Ташкисена, гор. Бугорок, Комарцы, Петричево Враждебна. Шипка. Шейново. Филиппополь. Занятие Андрианополя. Занятие Эрзерума»1907. Арх. Парланд А. А. Гранит (19 досок).Грибоедова канала наб., 2 а. Храм Воскресения Христова (Музей-памятник «Спас на Крови»). Персоны Александр II, император Парланд Альфред Александрович Адреса кан. Грибоедова наб./Санкт-Петербург, д. 2, лит. А Предметный указатель Воскресения Христова храм (""Спас на крови"") Собор ВОСКРЕСЕНИЯ ХРИСТОВА (Спас-на-крови) ","«12 декабря 1852 года. Провозглашение Великого Князя АЛЕКСАНДРА НИКОЛАЕВИЧА Наследником Престола. 16 апреля 1841 года. Бракосочетание Наследника Цесаревича и Великого Князя АЛЕКСАНДРА НИКОЛАЕВИЧА с Великою Княжною МАРИЕЮ АЛЕКСАНДРОВНОЮ, Принцессою Гессен-Дармштадтскою» ","кан. Грибоедова наб./Санкт-Петербург, д. 2, лит. А"
"Алексееву В. М., мемориальная доска"," Алексееву В. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь жил с 1939 по 1951 год академик Василий Михайлович Алексеев — крупнейший советский исследователь литературы, языка и культуры Китая»1959. Арх. Егоров М.Ф. Гальванопластика.Лейтенанта Шмидта наб., 1/2 Персоны Алексеев Василий Михайлович Егоров Михаил Федорович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ","1959. Арх. Егоров М.Ф. Гальванопластика.","Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2"
"Алексееву В.И., мемориальная доска"," Алексееву В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1914 по 1975 год жил выдающийся спортивный педагог, заслуженный мастер спорта СССР, заслуженный тренер СССР, воспитавший плеяду замечательных советских легкоатлетов, Виктор Ильич Алексеев»1990. Арх. Васильковский В.С., скульптор Королюк А. А. Гранит.Комсомола ул., 13 Персоны Алексеев Виктор Ильич Васильковский Владимир Сергеевич Королюк Алексей Алексеевич Адреса Комсомола ул./Санкт-Петербург, д. 13 ","1990. Арх. Васильковский В.С., скульптор Королюк А. А. Гранит.","Королюк Алексей Алексеевич"
"Алексееву В.И., мемориальная доска"," Алексееву В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании работал заслуженный мастер спорта СССР, заслуженный тренер СССР Виктор Ильич Алексеев (1914–1977), основатель детской легкоатлетической школы “Зенит”»1982. Арх. Васильковский В.С., скульптор Королюк А. А. Гранит, бронза.Раевского проезд, 16. Легкоатлетическая школа высшего спортивного мастерства им. В.И. Алексеева (Ф-281) Персоны Алексеев Виктор Ильич Васильковский Владимир Сергеевич Королюк Алексей Алексеевич Адреса Раевского пр./Санкт-Петербург, д. 16 ","1982. Арх. Васильковский В.С., скульптор Королюк А. А. Гранит, бронза.","Королюк Алексей Алексеевич"
"Алексееву В.П., мемориальная доска"," Алексееву В.П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом цехе с 1911 по 1917 гг. работал токарем Вася Алексеев — организатор комсомола в Петрограде»1967. Мрамор.Стачек пр., 47 (в здании на территории Кировского завода). Персоны Алексеев Василий Петрович Адреса Стачек пр./Санкт-Петербург, д. 47 Предметный указатель ""Кировский завод"" ","1967. Мрамор.","""Кировский завод"""
