"","human","humanLabel","genderLabel","birthdate","deathdate"
"1","Q991","Фёдор Михайлович Достоевский","мужской пол","1821-11-11T00:00:00Z","1881-02-09T00:00:00Z"
"2","Q9106","Дмитрий Иванович Менделеев","мужской пол","1834-02-08T00:00:00Z","1907-02-02T00:00:00Z"
"3","Q862","Иосиф Александрович Бродский","мужской пол","1940-05-24T00:00:00Z","1996-01-28T00:00:00Z"
"4","Q855","Иосиф Виссарионович Сталин","мужской пол","1878-12-18T00:00:00Z","1953-03-05T00:00:00Z"
"5","Q8479","Пётр I","мужской пол","1672-06-09T00:00:00Z","1725-02-08T00:00:00Z"
"6","Q7767","Эдуард Петрович Гау","мужской пол","1807-07-28T00:00:00Z","1888-01-03T00:00:00Z"
"7","Q7747","Владимир Владимирович Путин","мужской пол","1952-10-07T00:00:00Z",""
"8","Q7604","Леонард Эйлер","мужской пол","1707-04-15T00:00:00Z","1783-09-18T00:00:00Z"
"9","Q7437","Белецкая, Ирина Петровна","женский пол","1933-03-10T00:00:00Z",""
"10","Q7429","Нина Александровна Андреева","женский пол","1938-10-12T00:00:00Z",""
"11","Q7315","Пётр Ильич Чайковский","мужской пол","1840-05-07T00:00:00Z","1893-11-06T00:00:00Z"
"12","Q7314","Игорь Стравинский","мужской пол","1882-06-17T00:00:00Z","1971-04-06T00:00:00Z"
"13","Q7200","Александр Сергеевич Пушкин","мужской пол","1799-06-06T00:00:00Z","1837-02-10T00:00:00Z"
"14","Q64988","Овербек, Франц","мужской пол","1837-11-16T00:00:00Z","1905-06-26T00:00:00Z"
"15","Q64864","Крейцер, Леонид Давидович","мужской пол","1884-03-13T00:00:00Z","1953-10-30T00:00:00Z"
"16","Q64451","Людвиг Оттович Струве","мужской пол","1858-11-01T00:00:00Z","1920-11-04T00:00:00Z"
"17","Q64437","Фёдор Павлович Аделунг","мужской пол","1768-02-25T00:00:00Z","1843-01-30T00:00:00Z"
"18","Q64109","Фёдор Богданович фон Фишер","мужской пол","1782-04-05T00:00:00Z","1854-06-29T00:00:00Z"
"19","Q64026","Сиверс, Иоганн","мужской пол","1762-01-01T00:00:00Z","1795-01-01T00:00:00Z"
"20","Q63820","Георг-Август Мекленбург-Стрелицкий","мужской пол","1824-01-11T00:00:00Z","1876-06-20T00:00:00Z"
"21","Q63217","Георг Вильгельм Рихман","мужской пол","1711-07-22T00:00:00Z","1753-08-06T00:00:00Z"
"22","Q62996","Антуанетта Саксен-Кобург-Заальфельдская","женский пол","1779-08-28T00:00:00Z","1824-03-14T00:00:00Z"
"23","Q62989","Эдуард Регель","мужской пол","1815-08-13T00:00:00Z","1892-04-27T00:00:00Z"
"24","Q62887","Рупрехт, Франц Иванович","мужской пол","1814-11-01T00:00:00Z","1870-08-04T00:00:00Z"
"25","Q62846","Рудольф Эрнестович Траутфеттер","мужской пол","1809-02-20T00:00:00Z","1889-01-24T00:00:00Z"
"26","Q62837","Каспар Фридрих Вольф","мужской пол","1735-01-18T00:00:00Z","1794-02-22T00:00:00Z"
"27","Q62816","Пётр Георгиевич Ольденбургский","мужской пол","1812-08-26T00:00:00Z","1881-05-14T00:00:00Z"
"28","Q62522","Павлова, Наталья Евгеньевна","женский пол","1956-04-09T00:00:00Z",""
"29","Q61836","Герман Оттович Струве","мужской пол","1854-10-03T00:00:00Z","1920-08-12T00:00:00Z"
"30","Q61773","Кюгельген, Павел Константинович","мужской пол","1843-04-22T00:00:00Z","1904-10-18T00:00:00Z"
"31","Q61710","Бурхарт Христофор фон Миних","мужской пол","1683-05-19T00:00:00Z","1767-10-27T00:00:00Z"
"32","Q61313","Фёдор Фёдорович Бейльштейн","мужской пол","1838-02-17T00:00:00Z","1906-10-18T00:00:00Z"
"33","Q61224","Эпинус, Франц Ульрих Теодор","мужской пол","1724-12-13T00:00:00Z","1802-08-10T00:00:00Z"
"34","Q61155","Александр Вюртембергский","мужской пол","1804-09-09T00:00:00Z","1885-07-04T00:00:00Z"
"35","Q6079","Наталья Николаевна Антюх","женский пол","1981-06-26T00:00:00Z",""
"36","Q60579","Якоби, Борис Семёнович","мужской пол","1801-09-21T00:00:00Z","1874-03-11T00:00:00Z"
"37","Q60232","Елена Павловна","женский пол","1807-01-09T00:00:00Z","1873-02-02T00:00:00Z"
"38","Q59416","Леонова, Алёна Игоревна","женский пол","1990-11-23T00:00:00Z",""
"39","Q58727","Гурьянов, Александр Евгеньевич","мужской пол","1972-12-08T00:00:00Z",""
"40","Q58720","Михаил Васильевич Ломоносов","мужской пол","1711-11-19T00:00:00Z","1765-04-15T00:00:00Z"
"41","Q58001","Александра Петровна","женский пол","1838-05-14T00:00:00Z","1900-04-26T00:00:00Z"
"42","Q57950","Александра Иосифовна","женский пол","1830-07-08T00:00:00Z","1911-07-06T00:00:00Z"
"43","Q57671","Наталья Алексеевна","женский пол","1755-06-25T00:00:00Z","1776-04-15T00:00:00Z"
"44","Q57632","Мария Фёдоровна","женский пол","1759-10-25T00:00:00Z","1828-11-05T00:00:00Z"
"45","Q57361","Фёдор Фёдорович Брандт","мужской пол","1802-05-25T00:00:00Z","1879-07-15T00:00:00Z"
"46","Q57207","Александра Фёдоровна","женский пол","1798-07-13T00:00:00Z","1860-11-01T00:00:00Z"
"47","Q57190","Карл Эрнст фон Бэр","мужской пол","1792-02-28T00:00:00Z","1876-11-28T00:00:00Z"
"48","Q57173","Михаил Дмитриевич Скобелев","мужской пол","1843-09-29T00:00:00Z","1882-07-07T00:00:00Z"
"49","Q57164","Василий Яковлевич Струве","мужской пол","1793-04-15T00:00:00Z","1864-11-23T00:00:00Z"
"50","Q57106","Генрих Шлиман","мужской пол","1822-01-06T00:00:00Z","1890-12-26T00:00:00Z"
"51","Q54828","Иван Антонович Ефремов","мужской пол","1907-04-22T00:00:00Z","1972-10-05T00:00:00Z"
"52","Q54019","Станислав Август Понятовский","мужской пол","1732-01-17T00:00:00Z","1798-02-12T00:00:00Z"
"53","Q53683","Эфрос, Алексей Львович","мужской пол","1938-08-11T00:00:00Z",""
"54","Q51233","Штром, Иван Васильевич","мужской пол","1823-02-11T00:00:00Z","1888-01-11T00:00:00Z"
"55","Q51232","Шперер, Людвиг Францевич","мужской пол","1835-06-09T00:00:00Z","1898-01-13T00:00:00Z"
"56","Q51231","Цолликофер, Егор Тимофеевич","мужской пол","1802-10-02T00:00:00Z","1874-05-24T00:00:00Z"
"57","Q51221","Старов, Иван Егорович","мужской пол","1745-02-23T00:00:00Z","1808-04-17T00:00:00Z"
"58","Q51217","Кузьмин, Роман Иванович","мужской пол","1811-10-12T00:00:00Z","1867-11-24T00:00:00Z"
"59","Q51215","Кричинский, Степан Самойлович","мужской пол","1874-01-20T00:00:00Z","1923-08-09T00:00:00Z"
"60","Q51213","Кокорев, Адриан Васильевич","мужской пол","1810-08-26T00:00:00Z","1877-04-12T00:00:00Z"
"61","Q51205","Андреян Дмитриевич Захаров","мужской пол","1761-08-19T00:00:00Z","1811-09-08T00:00:00Z"
"62","Q51199","Андрей Никифорович Воронихин","мужской пол","1759-10-28T00:00:00Z","1814-03-05T00:00:00Z"
"63","Q51193","Виолье, Анри Франсуа Габриэль","мужской пол","1752-01-01T00:00:00Z","1839-01-01T00:00:00Z"
"64","Q51145","Белогруд, Андрей Евгеньевич","мужской пол","1875-01-01T00:00:00Z","1933-01-01T00:00:00Z"
"65","Q51136","Байков, Алексей Михайлович","мужской пол","1790-10-14T00:00:00Z","1854-08-06T00:00:00Z"
"66","Q51131","Николай Александрович Львов","мужской пол","1753-05-15T00:00:00Z","1804-01-03T00:00:00Z"
"67","Q51129","Василий Иванович Баженов","мужской пол","1737-03-12T00:00:00Z","1799-08-13T00:00:00Z"
"68","Q50943","Арина Родионовна","женский пол","1758-04-21T00:00:00Z","1828-08-12T00:00:00Z"
"69","Q50903","Виктор Ильич Алексеев","мужской пол","1914-09-09T00:00:00Z","1977-07-12T00:00:00Z"
"70","Q49509","Кондратий Фёдорович Рылеев","мужской пол","1795-09-29T00:00:00Z","1826-07-25T00:00:00Z"
"71","Q49492","Михаил Александрович Чехов","мужской пол","1891-08-29T00:00:00Z","1955-09-30T00:00:00Z"
"72","Q49491","Фёдор Фёдорович Шуберт","мужской пол","1789-02-23T00:00:00Z","1865-11-15T00:00:00Z"
"73","Q48211","Александр Фёдорович Керенский","мужской пол","1881-05-02T00:00:00Z","1970-06-11T00:00:00Z"
"74","Q4768","Карл Павлович Брюллов","мужской пол","1799-12-23T00:00:00Z","1852-06-23T00:00:00Z"
"75","Q47230","Андрей Сергеевич Аршавин","мужской пол","1981-05-29T00:00:00Z",""
"76","Q46647","Николай Оттович фон Эссен","мужской пол","1860-12-11T00:00:00Z","1915-05-07T00:00:00Z"
"77","Q46471","Владимир Григорьевич Пешехонов","мужской пол","1934-06-14T00:00:00Z",""
"78","Q45307","Цедербаум, Александр Осипович","мужской пол","1816-01-01T00:00:00Z","1893-01-01T00:00:00Z"
"79","Q45142","Гулькевич, Константин Николаевич","мужской пол","1865-01-01T00:00:00Z","1935-06-25T00:00:00Z"
"80","Q448","Дени Дидро","мужской пол","1713-10-05T00:00:00Z","1784-07-31T00:00:00Z"
"81","Q44704","Лев Семёнович Берг","мужской пол","1876-03-14T00:00:00Z","1950-12-24T00:00:00Z"
"82","Q44695","Константин Михайлович Симонов","мужской пол","1915-11-28T00:00:00Z","1979-08-28T00:00:00Z"
"83","Q44187","Кирилл (Гундяев)","мужской пол","1946-11-20T00:00:00Z",""
"84","Q43989","Григорий Ефимович Распутин","мужской пол","1869-01-21T00:00:00Z","1916-12-30T00:00:00Z"
"85","Q42985","Иван Петрович Павлов","мужской пол","1849-09-14T00:00:00Z","1936-02-27T00:00:00Z"
"86","Q42831","Иван Сергеевич Тургенев","мужской пол","1818-11-09T00:00:00Z","1883-09-03T00:00:00Z"
"87","Q40787","Николай II","мужской пол","1868-05-18T00:00:00Z","1918-07-17T00:00:00Z"
"88","Q38873","Саломе, Лу","женский пол","1861-02-12T00:00:00Z","1937-02-02T00:00:00Z"
"89","Q38667","Кулагина, Нинель Сергеевна","женский пол","1926-07-30T00:00:00Z","1990-04-11T00:00:00Z"
"90","Q3773","Галина Ивановна Зыбина","женский пол","1931-01-22T00:00:00Z",""
"91","Q37217","Фёдор Иванович Тютчев","мужской пол","1803-12-05T00:00:00Z","1873-07-27T00:00:00Z"
"92","Q36591","Владимир Владимирович Набоков","мужской пол","1899-04-22T00:00:00Z","1977-07-02T00:00:00Z"
"93","Q36546","Мария Семёнова","женский пол","1958-11-01T00:00:00Z",""
"94","Q36450","Екатерина II","женский пол","1729-05-02T00:00:00Z","1796-11-17T00:00:00Z"
"95","Q35448","Пётр Николаевич Краснов","мужской пол","1869-09-22T00:00:00Z","1947-01-16T00:00:00Z"
"96","Q33391","Лев Давидович Троцкий","мужской пол","1879-11-07T00:00:00Z","1940-08-20T00:00:00Z"
"97","Q33245","Богдан Павлович Виллевальде","мужской пол","1819-01-12T00:00:00Z","1903-03-24T00:00:00Z"
"98","Q32743","Яниш, Карл Андреевич","мужской пол","1813-04-23T00:00:00Z","1872-03-17T00:00:00Z"
"99","Q32697","Евгений Фёдорович Гросс","мужской пол","1897-10-20T00:00:00Z","1972-04-04T00:00:00Z"
"100","Q32558","Боровик-Романов, Виктор-Андрей Станиславович","мужской пол","1920-03-18T00:00:00Z","1997-07-31T00:00:00Z"
"101","Q31628","Сергей Александрович Есенин","мужской пол","1895-10-04T00:00:00Z","1925-12-21T00:00:00Z"
"102","Q28885","Галина Сергеевна Уланова","женский пол","1910-01-08T00:00:00Z","1998-03-21T00:00:00Z"
"103","Q27606","Дмитрий Константинович","мужской пол","1860-06-01T00:00:00Z","1919-01-28T00:00:00Z"
"104","Q27492","Константин Петрович Ольденбургский","мужской пол","1850-05-09T00:00:00Z","1906-03-18T00:00:00Z"
"105","Q26184","Николай Константинович Симонов","мужской пол","1901-12-04T00:00:00Z","1973-04-20T00:00:00Z"
"106","Q26047","Леонид Александрович Кмит","мужской пол","1908-03-09T00:00:00Z","1982-03-10T00:00:00Z"
"107","Q26045","Варвара Сергеевна Мясникова","женский пол","1900-10-05T00:00:00Z","1978-04-25T00:00:00Z"
"108","Q26003","Сергей Петрович Боткин","мужской пол","1832-09-17T00:00:00Z","1889-12-24T00:00:00Z"
"109","Q25997","Иннокентий Фёдорович Анненский","мужской пол","1855-09-01T00:00:00Z","1909-12-13T00:00:00Z"
"110","Q25872","Александр Константинович Глазунов","мужской пол","1865-08-10T00:00:00Z","1936-03-21T00:00:00Z"
"111","Q25081","Павел Александрович Мочалин","мужской пол","1989-01-16T00:00:00Z",""
"112","Q24348","Пётр Филиппович Якубович","мужской пол","1860-11-03T00:00:00Z","1911-03-30T00:00:00Z"
"113","Q24166","Ольга Владимировна Бородина","женский пол","1963-07-29T00:00:00Z",""
"114","Q23530","Дмитрий Анатольевич Медведев","мужской пол","1965-09-14T00:00:00Z",""
"115","Q19425","Пётр Андреевич Вяземский","мужской пол","1792-07-23T00:00:00Z","1878-01-01T00:00:00Z"
"116","Q19167","Винченцо Бренна","мужской пол","1747-08-20T00:00:00Z","1820-05-17T00:00:00Z"
"117","Q15780","Григорий Исаевич Никифоров","мужской пол","1904-01-08T00:00:00Z","1972-12-26T00:00:00Z"
"118","Q15208","Екатерина I","женский пол","1684-04-15T00:00:00Z","1727-05-17T00:00:00Z"
"119","Q15193","Александр I","мужской пол","1777-12-23T00:00:00Z","1825-12-01T00:00:00Z"
"120","Q15189","Павел I","мужской пол","1754-10-01T00:00:00Z","1801-03-24T00:00:00Z"
"121","Q1394","Владимир Ильич Ленин","мужской пол","1870-04-22T00:00:00Z","1924-01-21T00:00:00Z"
"122","Q13387","Иосиф Григорьевич Лангбард","мужской пол","1882-01-18T00:00:00Z","1951-01-03T00:00:00Z"
"123","Q12763","Лев Владимирович Урусов","мужской пол","1877-12-31T00:00:00Z","1933-01-01T00:00:00Z"
"124","Q12504","Вячеслав Константинович Мультино","мужской пол","1899-05-12T00:00:00Z","1978-09-15T00:00:00Z"
"125","Q11821","Сергей Иванович Белявский","мужской пол","1883-12-07T00:00:00Z","1953-10-13T00:00:00Z"
"126","Q9999999","Олимпий Иванович Рудаков","мужской пол","1913-03-30T00:00:00Z","1974-06-02T00:00:00Z"
"127","Q999467","Лев Васильевич Шубников","мужской пол","1901-09-29T00:00:00Z","1937-11-10T00:00:00Z"
"128","Q98858","Шеффер, Валериан Александрович","мужской пол","1862-11-02T00:00:00Z","1900-05-01T00:00:00Z"
"129","Q98844","Христиан Фридрих Зегельбах","мужской пол","1763-04-29T00:00:00Z","1842-08-19T00:00:00Z"
"130","Q985022","Трусов, Николай Васильевич","мужской пол","1985-07-02T00:00:00Z",""
"131","Q984655","Николай Александрович Панин-Коломенкин","мужской пол","1872-01-08T00:00:00Z","1956-01-19T00:00:00Z"
"132","Q984563","Павел Андреевич Шувалов","мужской пол","1776-05-21T00:00:00Z","1823-12-01T00:00:00Z"
"133","Q984309","Тыртов, Роман Петрович","мужской пол","1892-11-23T00:00:00Z","1990-04-21T00:00:00Z"
"134","Q983654","Сергей Евгеньевич Нарышкин","мужской пол","1954-10-27T00:00:00Z",""
"135","Q983223","Фёдор Антонович Бруни","мужской пол","1799-06-10T00:00:00Z","1875-09-23T00:00:00Z"
"136","Q982973","Пётр Фёдорович Анжу","мужской пол","1796-02-15T00:00:00Z","1869-10-12T00:00:00Z"
"137","Q982835","Зеленин, Дмитрий Константинович","мужской пол","1878-11-02T00:00:00Z","1954-08-31T00:00:00Z"
"138","Q982426","Юрий Матвеевич Фельтен","мужской пол","1730-01-01T00:00:00Z","1801-01-01T00:00:00Z"
"139","Q982315","Виктор Владимирович Васин","мужской пол","1988-10-06T00:00:00Z",""
"140","Q982305","Семёнов, Александр Михайлович","мужской пол","1922-02-18T00:00:00Z","1984-06-23T00:00:00Z"
"141","Q982300","Василий Васильевич Андреев","мужской пол","1861-01-15T00:00:00Z","1918-12-26T00:00:00Z"
"142","Q982267","Касатонов, Владимир Афанасьевич","мужской пол","1910-07-21T00:00:00Z","1989-06-09T00:00:00Z"
"143","Q982213","Захаров, Илья Леонидович","мужской пол","1991-05-02T00:00:00Z",""
"144","Q981960","Иван Васильевич Киреевский","мужской пол","1806-04-03T00:00:00Z","1856-06-23T00:00:00Z"
"145","Q981171","Виталий Валентинович Бианки","мужской пол","1894-02-11T00:00:00Z","1959-06-10T00:00:00Z"
"146","Q981132","Тихонов, Николай Семёнович","мужской пол","1896-12-04T00:00:00Z","1979-02-08T00:00:00Z"
"147","Q980503","Соколов, Максим Анатольевич","мужской пол","1972-05-27T00:00:00Z",""
"148","Q980208","Горский, Александр Алексеевич","мужской пол","1871-08-18T00:00:00Z","1924-10-20T00:00:00Z"
"149","Q978038","Ровнер, Дмитрий Осипович","мужской пол","1908-01-08T00:00:00Z","1986-04-19T00:00:00Z"
"150","Q977171","Шишкин, Владимир Васильевич","мужской пол","1938-01-29T00:00:00Z","1990-02-09T00:00:00Z"
"151","Q976715","Соложенкин, Евгений Александрович","мужской пол","1966-07-31T00:00:00Z",""
