"","X","ID","Person","Name","Description","Year","Address","pl_latitude","pl_longitude","Material","Is_sculptor","what_did","BirthDate","DeathDate","Gender","Wiki","Pl_Period","Pl_y"
"1",1,2805549264,"Абрамову Ф.А.","Фёдор Александрович Абрамов","В этом доме в 1982–1983 годах жил и работал писатель Федор Александрович Абрамов","1992"," Мичуринская ул./Санкт-Петербург, д. 1 ",59.953844,30.332259,"гранит",FALSE,"жил и работал",1920-02-29,1983-05-14,"мужской пол","Q468277","7. Federation",1992
"2",2,2805524742,"Авелану Ф.К.","Авелан, Фёдор Карлович","Здесь, в морской роте Александровского кадетского корпуса для малолетних, с 1850 по 1860 гг. воспитывалась плеяда выдающихся адмиралов Российского Флота, в их числе: Авелан К. Ф. [правильно - Ф. К (ред.)], Попов А.А., Римский-Корсаков В.А., Чихачев Г.П. [правильно - Н. М.(ред.)], Чухнин Г.П.","1997"," Кадетский бульв./Пушкин г., д. 1 ",59.709289,30.4022231,"гранит",TRUE,"учился",1839-09-12,1916-11-30,"мужской пол","Q3072690","7. Federation",1997
"3",3,2805531039,"Агееву Н.В.",NA,"В этом здании в период с 1925 по 1936 год работал академик Николай Владимирович Агеев","1989"," Политехническая ул./Санкт-Петербург, д. 29 ",60.0077249,30.3732928,"гранит",FALSE,"работал",NA,NA,NA,NA,"6. Perestroika",1989
"4",4,2805526222,"Азизбекову М.А ","Азизбеков, Азизага Мешади оглы","Технологи-революционеры, государственные деятели:Азизбеков Мешади Азизбек оглы 1876–1918,Бруснев Михаил Иванович 1864–1937,Ванеев Анатолий Александрович 1872–1899,Вологдин Валентин Петрович 1881–1953,Горбунов Николай Петрович 1892–1938,Гусев Сергей Иванович 1874–1933,Запорожец Петр Кузмич 1873–1905,Красин Леонид Борисович 1870–1926,Кржижановский Глеб Максимилианович 1872–1959,Лазо Сергей Георгиевич 1894–1920,Мартенс Людвиг Карлович 1875–1948,Петров Григорий Константинович 1892–1918,Радченко Степан Иванович 1869–1911,Сажин Михаил Петрович 1845–1934,Старков Василий Васильевич 1869–1925","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,NA,1903-04-27,1965-01-01,"мужской пол","Q16166598","5. Zastoi",1978
"5",5,2805549282,"Акимову Н.П.","Николай Павлович Акимов","В этом доме с 1945 г. по 1967 г. жил народный артист СССР Николай Павлович Акимов","1970"," Кирпичный пер./Санкт-Петербург, д. 1/4 ",59.9357908,30.3150342,"гранит",FALSE,"жил",1901-04-16,1968-09-06,"мужской пол","Q1185061","5. Zastoi",1970
"6",6,2805531051,"Алексееву В.М.","Василий Михайлович Алексеев","Здесь жил с 1939 по 1951 год академик Василий Михайлович Алексеев — крупнейший советский исследователь литературы, языка и культуры Китая","1959"," Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ",59.936509,30.285463,NA,FALSE,"жил",1881-01-14,1951-05-12,"мужской пол","Q921322","4. Ottepel",1959
"7",7,2805549310,"Алексееву В.И.","Виктор Ильич Алексеев","В этом доме с 1914 по 1975 год жил выдающийся спортивный педагог, заслуженный мастер спорта СССР, заслуженный тренер СССР, воспитавший плеяду замечательных советских легкоатлетов, Виктор Ильич Алексеев","1990"," Комсомола ул./Санкт-Петербург, д. 13 ",59.9551689,30.3673754,"гранит",TRUE,"жил",1914-09-09,1977-07-12,"мужской пол","Q50903","6. Perestroika",1990
"8",8,2805549322,"Алексееву В.И.","Виктор Ильич Алексеев","В этом здании работал заслуженный мастер спорта СССР, заслуженный тренер СССР Виктор Ильич Алексеев (1914–1977), основатель детской легкоатлетической школы “Зенит”","1982"," Раевского пр./Санкт-Петербург, д. 16 ",60.01326,30.3607151,"гранит",TRUE,"основал",1914-09-09,1977-07-12,"мужской пол","Q50903","5. Zastoi",1982
"9",9,2805526245,"Алексееву В.П.","Алексеев, Василий Петрович (революционер)","В этом цехе с 1911 по 1917 гг. работал токарем Вася Алексеев — организатор комсомола в Петрограде","1967"," Стачек пр./Санкт-Петербург, д. 47 ",59.8808948,30.2607868,"мрамор",FALSE,"работал",1896-12-22,1919-12-28,"мужской пол","Q4061633","5. Zastoi",1967
"10",10,2805526261,"Алексееву В.П.","Алексеев, Василий Петрович (революционер)","Вася Алексеев (1896–1919). Воспитанник нашего училища, токарь пушечной мастерской Путиловского завода, член большевистской партии с 1912 года, участник Октябрьской революции и Гражданской войны, один из организаторов Ленинского комсомола","1970"," Маршала Говорова ул./Санкт-Петербург, д. 18 ",59.882704,30.270126,"мрамор",TRUE,"учился",1896-12-22,1919-12-28,"мужской пол","Q4061633","5. Zastoi",1970
